sector,SACH,BODMIN,RCHT,CRCH,WCH
E01018750,40,31,60,66,87
E01018751,40,31,60,66,87
E01018752,41,32,61,67,88
E01018753,43,34,64,69,90
E01018754,46,38,67,72,93
E01018755,46,38,67,72,93
E01018756,49,40,70,75,96
E01018757,42,34,63,68,89
E01018758,25,16,45,51,72
E01018759,34,25,54,60,81
E01018760,30,24,53,58,79
E01018761,33,26,56,61,82
E01018762,35,28,57,63,84
E01018763,40,31,60,66,87
E01018764,44,35,64,70,91
E01018765,43,35,64,69,90
E01018766,21,19,43,51,72
E01018767,29,20,49,55,76
E01018768,30,22,51,56,77
E01018769,29,20,49,55,76
E01018770,29,20,49,54,75
E01018771,28,19,49,54,75
E01018772,27,18,48,53,74
E01018773,37,30,59,65,86
E01018774,38,29,59,64,85
E01018775,40,31,60,66,87
E01018776,37,32,61,67,88
E01018777,38,30,59,64,85
E01018778,33,24,54,59,80
E01018779,36,27,57,62,83
E01018780,48,39,68,74,95
E01018781,48,39,69,74,95
E01018782,32,22,51,56,77
E01018783,32,24,53,58,79
E01018784,28,17,46,52,73
E01018785,38,29,58,64,85
E01018786,44,35,64,70,91
E01018787,43,34,64,69,90
E01018788,44,35,64,70,91
E01018789,45,37,66,71,92
E01018790,45,36,65,70,91
E01018791,46,37,67,72,93
E01018792,44,36,65,70,91
E01018793,45,37,66,71,92
E01018794,45,36,66,71,92
E01018795,45,36,65,71,92
E01018796,44,35,64,70,91
E01018797,48,40,69,74,95
E01018798,48,39,69,74,95
E01018799,47,39,68,73,94
E01018800,47,38,68,73,94
E01018803,37,45,17,16,37
E01018804,36,44,16,15,37
E01018805,36,44,16,15,37
E01018806,35,43,15,14,36
E01018807,23,31,4,15,36
E01018808,23,31,3,14,35
E01018809,22,30,4,16,37
E01018810,23,32,2,14,35
E01018811,37,45,17,16,37
E01018812,36,45,16,16,37
E01018813,38,46,18,17,38
E01018814,36,45,16,16,37
E01018815,23,25,10,18,39
E01018816,28,36,8,19,40
E01018817,28,36,7,13,34
E01018818,26,34,6,13,38
E01018819,27,36,2,11,32
E01018820,30,36,5,8,29
E01018821,26,30,3,14,35
E01018822,28,36,3,11,32
E01018823,22,31,4,16,37
E01018824,22,29,5,16,37
E01018825,36,38,11,8,29
E01018826,32,34,7,10,31
E01018827,31,39,11,13,34
E01018828,36,44,16,15,37
E01018829,32,39,9,9,30
E01018830,30,38,10,10,32
E01018831,22,25,17,20,41
E01018832,27,28,17,21,41
E01018833,25,28,12,15,36
E01018834,33,41,13,12,34
E01018835,33,41,12,12,33
E01018836,33,41,13,12,34
E01018837,33,41,13,12,33
E01018838,35,43,15,14,36
E01018839,35,44,15,15,36
E01018840,35,43,15,14,36
E01018841,35,43,14,14,35
E01018842,29,32,11,14,35
E01018843,30,33,9,12,33
E01018844,28,31,11,14,35
E01018845,15,26,12,23,44
E01018846,20,31,12,24,44
E01018847,15,23,14,26,47
E01018848,15,27,11,23,44
E01018849,25,37,25,37,57
E01018850,21,33,21,32,53
E01018851,34,35,9,12,33
E01018852,32,35,10,13,34
E01018853,22,30,5,16,37
E01018854,22,30,4,16,36
E01018855,26,34,1,12,33
E01018856,24,32,1,12,33
E01018857,23,32,3,14,35
E01018858,23,31,3,15,36
E01018859,36,44,15,15,36
E01018860,35,43,15,14,36
E01018861,50,58,30,20,16
E01018862,54,62,34,27,12
E01018863,46,48,21,10,18
E01018864,49,52,24,13,15
E01018865,39,41,14,3,21
E01018866,41,43,16,5,20
E01018867,40,43,15,5,22
E01018868,40,42,15,4,21
E01018869,41,43,16,5,22
E01018870,41,43,16,5,21
E01018871,41,43,16,5,20
E01018872,43,45,18,7,22
E01018873,42,44,17,6,21
E01018874,41,44,16,5,19
E01018875,42,44,17,5,19
E01018876,41,43,16,7,19
E01018877,42,44,17,6,21
E01018878,41,43,16,5,20
E01018879,41,50,21,21,39
E01018880,42,50,22,21,30
E01018881,57,66,37,31,35
E01018882,45,53,24,17,21
E01018883,43,52,23,16,23
E01018884,44,52,24,16,22
E01018885,44,52,24,18,21
E01018886,44,52,24,18,22
E01018887,44,52,24,18,21
E01018888,44,52,23,17,22
E01018889,38,40,13,4,24
E01018890,40,42,15,4,23
E01018891,39,41,14,4,21
E01018892,40,42,15,8,26
E01018893,39,41,14,4,23
E01018894,40,43,16,5,24
E01018895,37,39,12,1,22
E01018896,38,40,13,3,23
E01018897,38,40,13,3,22
E01018898,37,40,12,2,21
E01018899,34,42,13,13,34
E01018900,36,44,16,15,36
E01018901,31,39,11,9,30
E01018902,55,63,35,29,33
E01018903,49,57,29,23,26
E01018904,54,62,34,28,31
E01018905,50,53,26,15,22
E01018906,49,57,28,20,19
E01018907,48,57,28,21,21
E01018908,35,37,10,4,25
E01018909,36,38,11,4,25
E01018910,35,38,10,3,24
E01018911,36,39,12,2,24
E01018912,34,36,9,4,25
E01018913,36,38,11,2,24
E01018914,37,39,12,2,24
E01018915,36,38,11,3,25
E01018916,35,39,12,4,26
E01018917,36,39,12,4,25
E01018918,36,38,11,7,28
E01018919,36,38,11,7,29
E01018920,58,66,37,31,35
E01018921,35,43,14,10,31
E01018922,39,47,19,12,25
E01018923,27,10,42,48,69
E01018924,29,11,35,41,62
E01018925,39,23,54,60,81
E01018926,27,10,42,47,68
E01018927,19,2,34,39,60
E01018928,19,2,34,39,60
E01018929,18,2,33,39,60
E01018930,19,2,34,39,60
E01018931,18,2,33,39,60
E01018932,20,3,35,40,61
E01018933,19,3,34,40,61
E01018934,22,4,37,42,63
E01018935,20,3,35,40,61
E01018936,58,41,71,76,97
E01018937,58,40,71,76,97
E01018938,58,40,70,76,97
E01018940,37,19,46,51,72
E01018941,39,22,48,54,74
E01018942,43,26,53,59,80
E01018943,67,50,80,85,106
E01018944,17,5,32,38,59
E01018945,16,6,31,37,58
E01018946,46,30,61,67,88
E01018947,47,31,62,68,89
E01018948,48,31,63,68,89
E01018949,48,32,63,69,90
E01018950,47,31,62,68,89
E01018951,57,40,70,75,96
E01018952,50,34,65,71,92
E01018953,54,38,69,75,96
E01018954,29,25,33,34,55
E01018955,31,22,34,37,57
E01018956,28,16,34,39,60
E01018957,29,19,34,40,61
E01018958,29,20,35,41,62
E01018959,59,42,72,78,99
E01018960,57,40,70,76,97
E01018961,59,42,72,77,98
E01018962,34,16,43,48,69
E01018965,44,28,59,65,86
E01018966,52,36,67,73,94
E01018967,44,35,64,70,91
E01018968,43,26,56,61,82
E01018969,48,31,61,66,87
E01018970,27,9,36,41,62
E01018971,27,10,35,40,61
E01018972,27,9,35,41,62
E01018973,26,8,37,42,63
E01018974,63,46,78,83,104
E01018975,58,60,33,24,9
E01018976,58,61,33,24,2
E01018977,58,60,33,24,1
E01018978,46,48,21,12,14
E01018979,47,50,22,12,17
E01018980,45,47,20,10,16
E01018981,46,48,21,11,14
E01018982,47,49,22,12,12
E01018983,48,50,23,14,12
E01018984,48,50,23,13,13
E01018985,51,53,26,17,12
E01018986,52,55,28,18,13
E01018987,52,54,27,18,10
E01018988,55,57,30,20,5
E01018989,60,62,35,26,5
E01018990,57,59,32,23,8
E01018991,66,69,41,32,10
E01018992,66,68,41,32,10
E01018993,67,69,42,33,11
E01018994,58,60,33,24,1
E01018995,57,60,32,23,1
E01018996,56,58,31,22,2
E01018997,57,59,32,23,2
E01018998,57,59,32,23,1
E01018999,57,59,32,23,1
E01019000,59,62,34,25,2
E01019001,58,60,33,24,1
E01019002,64,67,40,30,7
E01019003,60,63,35,26,4
E01019004,61,63,36,27,3
E01019005,69,72,44,35,13
E01019006,62,64,37,28,5
E01019007,54,56,29,19,13
E01019008,56,59,31,22,13
E01019009,57,60,33,23,13
E01019010,57,59,32,23,13
E01019011,54,56,29,20,15
E01019012,56,58,31,22,17
E01019013,3,16,26,37,58
E01019014,4,15,25,36,57
E01019015,4,15,25,36,57
E01019016,4,14,26,37,58
E01019017,3,17,26,37,58
E01019018,25,26,21,24,45
E01019019,23,24,20,23,44
E01019020,24,24,20,23,44
E01019021,23,23,19,22,43
E01019022,24,24,19,23,43
E01019023,22,23,19,22,43
E01019024,9,16,32,43,64
E01019025,12,17,34,45,66
E01019026,8,16,30,42,63
E01019027,12,19,34,46,67
E01019028,25,25,20,23,44
E01019029,24,25,20,23,44
E01019030,27,27,22,25,46
E01019031,27,27,20,23,44
E01019032,5,16,21,33,54
E01019033,4,16,22,33,54
E01019034,5,15,23,34,55
E01019035,13,11,36,43,64
E01019036,12,10,34,40,61
E01019037,13,11,36,43,64
E01019038,9,24,26,37,58
E01019039,14,30,25,37,58
E01019040,8,23,25,36,57
E01019041,3,16,23,34,55
E01019042,2,15,25,36,57
E01019043,3,16,24,35,56
E01019044,3,17,25,37,58
E01019045,4,14,25,37,57
E01019046,3,15,24,35,56
E01019047,4,16,24,35,56
E01019048,23,23,22,24,45
E01019049,21,22,20,24,45
E01019050,22,22,21,26,47
E01019051,23,23,21,25,46
E01019052,18,9,28,33,54
E01019053,12,11,29,35,56
E01019054,13,15,24,29,50
E01019055,13,18,23,28,49
E01019056,6,17,28,40,60
E01019057,8,16,30,41,62
E01019058,7,18,29,40,61
E01019059,7,18,29,41,62
E01019060,26,24,30,32,53
E01019061,20,19,24,30,51
E01019062,20,19,24,29,50
E01019063,16,20,16,22,43
E01019064,17,16,21,27,48
E01019065,17,16,21,27,48
E01019066,11,23,17,28,49
E01019067,4,18,23,34,55
E01019068,7,19,19,30,51
E01019069,11,15,24,29,50
E01019070,10,17,26,31,52
E01019071,9,23,22,27,48
E01019072,10,23,21,27,47
E01019073,6,18,23,31,52
E01019074,9,10,29,40,61
E01019075,8,12,28,41,62
E01019076,10,9,28,38,59
E01033289,30,21,36,41,62
E01033291,35,18,48,53,74
E01033292,35,18,48,53,74
E01033294,47,38,68,73,94
